source_id,name,language,cca,coverage,covered_area,url
167,Euro Weekly,en,ES,regional,europe,http://www.euroweeklynews.com/
168,Techradar,en,GB,global,world,http://www.techradar.com/
169,Frontier Magazine,en,GB,global,world,http://www.frontiermagazine.co.uk/
17,Corriere Della Sera (en),en,IT,national,italy,http://www.corriere.it/
170,Breaking Travel News,en,GB,global,world,http://www.breakingtravelnews.com/
171,Anna Aero,en,GB,global,world,http://www.anna.aero/
172,International Airport Review,en,GB,global,world,http://www.internationalairportreview.com/
173,Aviation Week,en,US,global,world,http://aviationweek.com/
174,Aviation Pros,en,US,global,world,http://www.aviationpros.com/
175,Airport Technology,en,GB,global,world,http://www.airport-technology.com/
176,Travel Daily News,en,CY,global,world,http://www.traveldailynews.com/
177,MRO Network,en,US,global,world,http://mro-network.com
178,Aircargo News,en,GB,global,world,http://www.aircargonews.net/
179,Business Traveller,en,GB,global,world,https://www.businesstraveller.com/
18,CRN,en,US,global,world,http://www.crn.com/
180,Decentralized Energy,en,GB,global,world,http://www.decentralized-energy.com/
181,Rigzone,en,US,global,world,http://www.rigzone.com/
182,Energy Pedia,en,GB,global,world,http://www.energy-pedia.com/
183,Focus Online,de,DE,global,world,http://www.focus.de/
184,Airliners,de,DE,national,germany,http://www.airliners.de/
185,Bayerischer Rundfunk,de,DE,national,germany,http://www.br.de/
186,Merkur,de,DE,national,germany,http://www.merkur.de/
187,Augsbuger Allgemeine,de,DE,national,germany,http://www.augsburger-allgemeine.de/
188,TZ,de,DE,national,germany,http://www.tz.de/
189,Abendzeitung Muenchen,de,DE,national,germany,http://www.abendzeitung-muenchen.de/
19,CSR Newswire,en,US,global,world,http://www.csrwire.com/
190,Airportzentrale,de,DE,national,germany,http://www.airportzentrale.de/
191,Bayernkurier,de,DE,national,germany,https://www.bayernkurier.de/
192,Aero,de,DE,national,germany,http://www.aero.de/
193,Sueddeutsche Zeitung,de,DE,global,world,http://www.sueddeutsche.de/
194,Wirtschaftswoche,de,DE,global,world,http://www.wiwo.de/
195,IHS Airport 360 ,en,GB,global,world,http://www.ihsairport360.com/
196,Airport Revenue News,en,US,global,world,https://www.airportrevenuenews.com
197,La Nación Argentina,es,AR,global,world,http://www.lanacion.com.ar/
198,El Comercio Peru Mercados Feed,es,PE,global,world,http://elcomercio.pe/
199,Terra Peru,es,PE,global,world,https://www.terra.com.pe/
2,ABC News,en,US,global,world,http://abcnews.go.com/
20,CTV News,en,CA,global,world,http://www.ctvnews.ca/
200,El Pais Uruguay,es,UY,global,world,http://www.elpais.com.uy/
201,La REd 21,es,UY,global,world,http://www.lr21.com.uy/
202,5 dias,es,PY,global,world,http://www.5dias.com.py/
203,Fortune,en,US,global,world,http://fortune.com/
204,Peru 21,es,PE,global,world,http://peru21.pe/
205,TN.com,es,AR,global,world,http://tn.com.ar/
206,RPP,es,PE,global,world,http://rpp.pe/
207,Circulate News,en,US,global,world,http://circulatenews.org/
208,20 minutos,es,ES,global,world,http://www.20minutos.es/
209,ABC,es,ES,global,world,http://www.abc.es/
21,Eco-business,en,SG,global,world,http://www.eco-business.com/
210,Cinco D�_as,es,ES,national,spain,http://cincodias.com/
211,El Economista,es,ES,national,spain,http://www.eleconomista.es/
212,Expansi�_n,es,ES,global,world,http://www.expansion.com/
213,Huffington Post Espa̱a,es,ES,global,world,http://www.huffingtonpost.es/
214,La Raz�_n Espa̱a,es,ES,global,world,http://www.larazon.es/
215,La Jornada,es,MX,global,world,http://www.jornada.unam.mx/
216,Reforma,es,MX,global,world,http://www.reforma.com/
217,La Voz,es,AR,global,world,http://www.lavoz.com.ar/
218,Ambito,es,AR,global,world,http://www.ambito.com/
219,Clar�_n,es,AR,national,argentina,http://www.clarin.com/
